,date,user_loc,message,full_name,country,country_code,geo_code
352,2020-01-13 14:34:05,Scotland,@TedDitchburnNNP @AwayFromTheKeys @KeithRSteele @yamaking0 @HTScotPol Mate the vast maj of Scots want to remain in… https://t.co/54KVbwz5WF,"Falkirk, Scotland",United Kingdom,GB,[-3.802786 56.011915]
353,2020-01-13 15:26:15,Saigon,"@TomGribbin6 @TraceWoolf @labourlewis @BBCRadio4 Can't age any worse than the archaic voting system of #FPTP, which… https://t.co/TPGgraJVyG","Ho Chi Minh, Vietnam",Vietnam,VN,[106.684598  10.763038]
354,2020-01-13 16:20:19,"Glasgow, Scotland",So @jessphillips just claimed the health service in Scotland was suffering under the SNP - I wonder what she has to… https://t.co/Mqtb4wC1so,"Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
355,2020-01-13 16:32:09,"Glasgow, Scotland","How many times do we need to vote for it?

Scotland has voted for pro-independence/#indyref2 advocating parties in… https://t.co/CwwGHC7ogW","Edinburgh, Scotland",United Kingdom,GB,[-3.203008 55.943196]
356,2020-01-13 16:51:12,"Montrose, Scotland",@arthistorynews @jessphillips @NicolaSturgeon Scottish Independence is going to have a bigger impact than Brexit.,"Dundee, Scotland",United Kingdom,GB,[-2.955045 56.476952]
357,2020-01-13 17:00:11,A Scottish man fae Scotland,"Ironic that politicians like Jack, Mundell, Johnson, Phillips and Murray are saying Scotland can not have another r… https://t.co/1YJl9fFIig","Collin, Scotland",United Kingdom,GB,[-3.524577 55.067511]
358,2020-01-13 17:01:59,"London, UK","#Labour is a bit trapped by #Scotland - they'd probably need the #SNP in coalition to govern, but would risk losing… https://t.co/Wf66dPEqaf","Southall, London",United Kingdom,GB,[-0.36118  51.525432]
359,2020-01-13 17:23:57,"Edinburgh, Scotland",@jessphillips To say that the case for Scottish independence isn’t internationalist is misreading the tone of that… https://t.co/luEobLZua1,"Edinburgh, Scotland",United Kingdom,GB,[-3.203008 55.943196]
360,2020-01-13 17:39:15,,"@jessphillips You just keep pushing Scots further away. We want to be part of a greater trading union with the EU,… https://t.co/TNEFcEBNWo","Washington, England",United Kingdom,GB,[-1.525529 54.90191 ]
361,2020-01-13 17:51:38,"Hamilton, Scotland",The queen giving her support to Harry and Meghan being independent is an even better argument for us #indyref2 #indyref2020 #indyscotland,"Hamilton, Scotland",United Kingdom,GB,[-4.066228 55.778186]
362,2020-01-13 17:58:57,Scotland+,"Very excited about this! 

Independence Live are setting up a public event in Larkhall on the 28th of March for Vet… https://t.co/dRj9mf9tYo","Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
363,2020-01-13 18:02:46,,"Right that’s it I’m voting SNP and I’m voting yes , just spoke to an awfy nice wee Nat Rangers supporter on twitter… https://t.co/nlAwUX3Gk4","Glasgow, Scotland",United Kingdom,GB,[-4.241751 55.858303]
364,2020-01-13 18:06:07,"Renfrewshire, Scotland",The legal and constitutional vagaries of our strughle to be rid of Westmi ster. https://t.co/ZC8tf82WwY,"Ranfurly, Scotland",United Kingdom,GB,[-4.577733 55.852501]
